timestamp,zone,occupancy,ambient_temp,equipment_power,cooling_need
2025-01-01 00:00:00,Lab A,2,15.5,0.67,0.91
2025-01-01 00:00:00,Lab B,1,15.47,0.87,0.99
2025-01-01 00:00:00,Clean Room,2,15.28,2.4,2.64
2025-01-01 00:00:00,Office 1,0,14.53,0.61,0.61
2025-01-01 01:00:00,Lab A,0,16.63,0.81,0.81
2025-01-01 01:00:00,Lab B,2,13.45,0.59,0.83
2025-01-01 01:00:00,Clean Room,2,14.64,2.18,2.42
2025-01-01 01:00:00,Office 1,2,16.64,0.65,0.89
2025-01-01 02:00:00,Lab A,0,15.81,0.49,0.49
2025-01-01 02:00:00,Lab B,0,15.79,0.4,0.4
2025-01-01 02:00:00,Clean Room,0,15.38,1.99,1.99
2025-01-01 02:00:00,Office 1,2,15.07,0.64,0.88
2025-01-01 03:00:00,Lab A,2,17.41,1.02,1.26
2025-01-01 03:00:00,Lab B,1,16.08,0.37,0.49
2025-01-01 03:00:00,Clean Room,1,15.2,2.32,2.44
2025-01-01 03:00:00,Office 1,0,16.79,0.22,0.22
2025-01-01 04:00:00,Lab A,1,18.24,0.63,0.75
2025-01-01 04:00:00,Lab B,1,16.49,0.28,0.4
2025-01-01 04:00:00,Clean Room,0,19.84,2.21,2.21
2025-01-01 04:00:00,Office 1,0,17.84,0.15,0.15
2025-01-01 05:00:00,Lab A,0,17.86,0.4,0.4
2025-01-01 05:00:00,Lab B,2,19.29,0.88,1.12
2025-01-01 05:00:00,Clean Room,1,19.18,2.36,2.48
2025-01-01 05:00:00,Office 1,2,17.87,0.64,0.88
2025-01-01 06:00:00,Lab A,0,19.83,0.73,0.73
2025-01-01 06:00:00,Lab B,0,19.82,0.42,0.42
2025-01-01 06:00:00,Clean Room,2,20.81,2.47,2.71
2025-01-01 06:00:00,Office 1,2,17.96,0.91,1.15
2025-01-01 07:00:00,Lab A,1,22.27,0.76,1.01
2025-01-01 07:00:00,Lab B,2,20.51,0.53,0.77
2025-01-01 07:00:00,Clean Room,1,18.67,2.26,2.38
2025-01-01 07:00:00,Office 1,2,19.91,0.64,0.88
2025-01-01 08:00:00,Lab A,1,25.13,0.39,2.08
2025-01-01 08:00:00,Lab B,2,22.8,0.49,1.13
2025-01-01 08:00:00,Clean Room,2,21.71,2.35,2.59
2025-01-01 08:00:00,Office 1,1,21.69,0.5,0.62
2025-01-01 09:00:00,Lab A,9,22.07,1.58,2.69
2025-01-01 09:00:00,Lab B,16,23.79,2.16,4.98
2025-01-01 09:00:00,Clean Room,14,24.5,3.36,6.29
2025-01-01 09:00:00,Office 1,7,23.21,1.03,2.47
2025-01-01 10:00:00,Lab A,18,24.07,2.23,5.42
2025-01-01 10:00:00,Lab B,15,23.46,1.9,4.43
2025-01-01 10:00:00,Clean Room,7,22.91,2.62,3.91
2025-01-01 10:00:00,Office 1,4,23.42,0.74,1.93
2025-01-01 11:00:00,Lab A,13,25.04,1.4,4.48
2025-01-01 11:00:00,Lab B,14,24.17,1.87,4.63
2025-01-01 11:00:00,Clean Room,5,22.91,2.49,3.55
2025-01-01 11:00:00,Office 1,8,24.77,1.37,3.71
2025-01-01 12:00:00,Lab A,7,25.48,1.15,3.73
2025-01-01 12:00:00,Lab B,14,25.34,2.29,5.64
2025-01-01 12:00:00,Clean Room,15,26.14,3.65,7.52
2025-01-01 12:00:00,Office 1,6,25.73,0.98,3.56
2025-01-01 13:00:00,Lab A,15,26.23,2.28,6.2
2025-01-01 13:00:00,Lab B,13,25.34,1.91,5.14
2025-01-01 13:00:00,Clean Room,17,23.84,3.59,6.55
2025-01-01 13:00:00,Office 1,5,24.41,1.17,2.98
2025-01-01 14:00:00,Lab A,7,24.34,1.13,3.14
2025-01-01 14:00:00,Lab B,13,23.61,1.75,4.11
2025-01-01 14:00:00,Clean Room,6,23.41,2.91,4.34
2025-01-01 14:00:00,Office 1,2,24.81,0.89,2.53
2025-01-01 15:00:00,Lab A,16,23.18,2.21,4.72
2025-01-01 15:00:00,Lab B,5,21.83,1.02,1.62
2025-01-01 15:00:00,Clean Room,13,23.8,3.46,5.91
2025-01-01 15:00:00,Office 1,9,24.5,1.19,3.52
2025-01-01 16:00:00,Lab A,15,23.12,2.24,4.6
2025-01-01 16:00:00,Lab B,18,23.35,2.66,5.49
2025-01-01 16:00:00,Clean Room,6,21.51,2.38,3.1
2025-01-01 16:00:00,Office 1,2,23.55,0.97,1.98
2025-01-01 17:00:00,Lab A,12,19.96,1.69,3.13
2025-01-01 17:00:00,Lab B,5,22.26,1.08,1.81
2025-01-01 17:00:00,Clean Room,15,21.71,3.12,4.92
2025-01-01 17:00:00,Office 1,7,19.92,1.05,1.89
2025-01-01 18:00:00,Lab A,7,20.32,1.21,2.05
2025-01-01 18:00:00,Lab B,6,20.28,1.27,1.99
2025-01-01 18:00:00,Clean Room,19,21.3,3.63,5.91
2025-01-01 18:00:00,Office 1,6,18.59,1.09,1.81
2025-01-01 19:00:00,Lab A,0,21.49,0.49,0.49
2025-01-01 19:00:00,Lab B,1,16.92,0.55,0.67
2025-01-01 19:00:00,Clean Room,0,18.58,2.15,2.15
2025-01-01 19:00:00,Office 1,2,19.04,0.71,0.95
2025-01-01 20:00:00,Lab A,0,16.55,0.38,0.38
2025-01-01 20:00:00,Lab B,0,16.57,0.4,0.4
2025-01-01 20:00:00,Clean Room,2,18.6,2.13,2.37
2025-01-01 20:00:00,Office 1,2,16.62,0.73,0.97
2025-01-01 21:00:00,Lab A,0,17.52,0.51,0.51
2025-01-01 21:00:00,Lab B,1,16.91,0.96,1.08
2025-01-01 21:00:00,Clean Room,0,16.98,2.1,2.1
2025-01-01 21:00:00,Office 1,2,15.73,0.74,0.98
2025-01-01 22:00:00,Lab A,0,17.11,0.5,0.5
2025-01-01 22:00:00,Lab B,1,15.5,0.46,0.58
2025-01-01 22:00:00,Clean Room,1,15.35,2.25,2.37
2025-01-01 22:00:00,Office 1,1,15.83,0.43,0.55
2025-01-01 23:00:00,Lab A,1,14.26,0.51,0.63
2025-01-01 23:00:00,Lab B,1,15.86,0.28,0.4
2025-01-01 23:00:00,Clean Room,0,15.52,1.62,1.62
2025-01-01 23:00:00,Office 1,0,16.73,0.53,0.53
2025-01-02 00:00:00,Lab A,1,16.21,0.57,0.69
2025-01-02 00:00:00,Lab B,0,17.14,0.63,0.63
2025-01-02 00:00:00,Clean Room,2,14.89,2.1,2.34
2025-01-02 00:00:00,Office 1,0,14.21,0.48,0.48
2025-01-02 01:00:00,Lab A,0,16.95,0.36,0.36
2025-01-02 01:00:00,Lab B,1,14.84,0.54,0.66
2025-01-02 01:00:00,Clean Room,0,14.85,1.96,1.96
2025-01-02 01:00:00,Office 1,0,13.91,0.68,0.68
2025-01-02 02:00:00,Lab A,1,16.05,0.93,1.05
2025-01-02 02:00:00,Lab B,1,14.49,0.65,0.77
2025-01-02 02:00:00,Clean Room,1,16.11,2.25,2.37
